Tipus,Sodi ,Calories 
Vedella,"580,3","80,0"
Vedella,"600,0","76,0"
Vedella,"598,1","80,7"
Vedella,"520,7","81,5"
Vedella,"524,8","83,0"
Vedella,"560,5","79,8"
Vedella,"603,1","81,1"
Vedella,"605,7","82,3"
Vedella,"614,5","77,6"
Vedella,"607,9","75,0"
Vedella,"610,3","85,5"
Vedella,"597,3","80,9"
Vedella,"576,3","98,7"
Vedella,"548,1","76,0"
Vedella,"579,3","81,0"
Gall d'indi,"550,3","121,0"
Gall d'indi,"508,6","118,3"
Gall d'indi,"490,4","100,7"
Gall d'indi,"500,0","98,8"
Gall d'indi,"508,1","85,6"
Gall d'indi,"510,0","88,7"
Gall d'indi,"500,9","117,8"
Gall d'indi,"505,3","114,7"
Gall d'indi,"498,2","99,8"
Gall d'indi,"499,8","100,3"
Gall d'indi,"504,4","110,5"
Gall d'indi,"507,3","122,0"
Gall d'indi,"501,4","119,3"
Gall d'indi,"489,7","96,9"
Gall d'indi,"510,6","102,7"
